ID	Stratum	Region	Reference
1	1	AFR	0
2	1	AUS	0
3	1	NAM	0
4	1	LAM	0
5	1	EUR	0
6	1	SEAS	0.000100168
7	1	NAM	0
8	1	AFR	0
9	1	AFR	2.96093E-05
10	1	AFR	0
11	1	NEAS	0
12	1	NEAS	0
13	1	LAM	0
14	1	SEAS	0
15	1	NAM	0
16	1	AUS	0
17	1	NEAS	0
18	1	NEAS	0
19	1	LAM	0
20	1	NAM	0
21	1	NEAS	0
22	1	AFR	0
23	1	NEAS	0
24	1	AFR	0
25	1	AFR	0
26	1	NEAS	0
27	1	NAM	0
28	1	AFR	0
29	1	SEAS	0
30	1	NEAS	0
31	1	LAM	0
32	1	NEAS	0
33	1	SEAS	0
34	1	NAM	0
35	1	AFR	0
36	1	NEAS	0
37	1	NEAS	0
38	1	AUS	0
39	1	NEAS	0
40	1	LAM	0.000263673
41	1	NAM	0
42	1	NAM	0
43	1	NEAS	0
44	1	NAM	0
45	1	AUS	0
46	1	AUS	0
47	1	NAM	0
48	1	NEAS	0
49	1	NAM	0
50	1	NEAS	0
51	2	LAM	0
52	2	LAM	0.004921368
53	2	AFR	0
54	2	AFR	0
55	2	LAM	0
56	2	LAM	0.000171821
57	2	SEAS	0.001966066
58	2	NAM	0
59	2	AFR	0
60	2	NEAS	0
61	2	NEAS	0
62	2	AUS	0
63	2	NEAS	0
64	2	LAM	0.000166358
65	2	SEAS	0
66	2	LAM	0.000547281
67	2	LAM	0
68	2	AFR	0
69	2	NEAS	0
70	2	NEAS	0
71	2	SEAS	0
72	2	AUS	0
73	2	NAM	0
74	2	LAM	0
75	2	AUS	0
76	2	NEAS	0
77	2	NAM	0.000397359
78	2	SEAS	0.000476359
79	2	NEAS	0
80	2	NEAS	0
81	2	LAM	0.000573051
82	2	SEAS	0
83	2	SEAS	0
84	2	NEAS	0
85	2	NAM	0
86	2	LAM	0
87	2	AUS	0
88	2	AUS	2.31023E-05
89	2	NAM	0
90	2	NAM	0
91	2	SEAS	0
92	2	LAM	0
93	2	NEAS	0
94	2	SEAS	0
95	2	NEAS	0
96	2	LAM	0
97	2	LAM	0
98	2	EUR	0
99	2	LAM	0.001766304
100	2	NEAS	0.000944952
101	3	SEAS	0.010992945
102	3	LAM	0.004379581
103	3	NAM	0.000633377
